Output Areas Code,HHD_dep_education_PC,HHD_dep_employment_PC,HHD_dep_health_PC,HHD_dep_housing_PC
E00053495,0.1858974358974359,0.12179487179487179,0.3974358974358974,0.03205128205128205
E00053496,0.27205882352941174,0.11278195488721804,0.4,0.08148148148148149
E00053497,0.1927710843373494,0.1566265060240964,0.3453815261044177,0.0642570281124498
E00053498,0.164021164021164,0.10638297872340426,0.2857142857142857,0.06382978723404255
E00053499,0.2145922746781116,0.14655172413793102,0.3648068669527897,0.06896551724137931
E00053500,0.16993464052287582,0.0718954248366013,0.29605263157894735,0.05194805194805195
E00053501,0.16793893129770993,0.08461538461538462,0.27692307692307694,0.03816793893129771
E00053502,0.31343283582089554,0.1111111111111111,0.38235294117647056,0.07407407407407407
E00053503,0.19402985074626866,0.13432835820895522,0.3106060606060606,0.08208955223880597
E00053504,0.29411764705882354,0.0915032679738562,0.31788079470198677,0.026143790849673203
E00053505,0.27074235807860264,0.04405286343612335,0.2907488986784141,0.022026431718061675
E00053506,0.23333333333333334,0.1322314049586777,0.34710743801652894,0.06611570247933884
E00053507,0.22962962962962963,0.11851851851851852,0.29850746268656714,0.05970149253731343
E00053508,0.17692307692307693,0.12030075187969924,0.25,0.06060606060606061
E00053509,0.19834710743801653,0.13445378151260504,0.33884297520661155,0.0743801652892562
E00053510,0.27611940298507465,0.08888888888888889,0.3358208955223881,0.08955223880597014
E00053511,0.5,0.22388059701492538,0.4925373134328358,0.03731343283582089
E00053512,0.25203252032520324,0.16260162601626016,0.34959349593495936,0.12195121951219512
E00053513,0.296875,0.28346456692913385,0.4921875,0.125
E00053514,0.37404580152671757,0.1893939393939394,0.4961832061068702,0.0916030534351145
E00053515,0.3404255319148936,0.2127659574468085,0.4154929577464789,0.15602836879432624
E00053516,0.4067796610169492,0.19491525423728814,0.3983050847457627,0.05084745762711865
E00053517,0.3867924528301887,0.2169811320754717,0.5238095238095238,0.0660377358490566
E00053518,0.3389830508474576,0.2457627118644068,0.3983050847457627,0.059322033898305086
E00053519,0.15841584158415842,0.21782178217821782,0.37623762376237624,0.12871287128712872
E00053520,0.3203125,0.140625,0.3828125,0.1171875
E00053521,0.09352517985611511,0.09420289855072464,0.35036496350364965,0.07194244604316546
E00053522,0.23148148148148148,0.05504587155963303,0.3119266055045872,0.03669724770642202
E00053523,0.29120879120879123,0.0989010989010989,0.38461538461538464,0.03296703296703297
E00053524,0.24,0.152,0.352,0.10317460317460317
E00053525,0.29545454545454547,0.11278195488721804,0.3484848484848485,0.09090909090909091
E00053526,0.22764227642276422,0.2032520325203252,0.3821138211382114,0.12195121951219512
E00053527,0.25217391304347825,0.1565217391304348,0.2608695652173913,0.09565217391304348
E00053528,0.3130434782608696,0.1391304347826087,0.3559322033898305,0.06896551724137931
E00053529,0.2838709677419355,0.10967741935483871,0.33548387096774196,0.09032258064516129
E00053530,0.17647058823529413,0.13333333333333333,0.3949579831932773,0.05
E00053531,0.24242424242424243,0.12121212121212122,0.36363636363636365,0.09848484848484848
E00053532,0.24561403508771928,0.16666666666666666,0.47368421052631576,0.14035087719298245
E00053533,0.3090909090909091,0.16363636363636364,0.39090909090909093,0.09090909090909091
E00053534,0.34375,0.17829457364341086,0.3178294573643411,0.023255813953488372
E00053535,0.21014492753623187,0.14492753623188406,0.35507246376811596,0.050724637681159424
E00053536,0.2222222222222222,0.0915032679738562,0.3137254901960784,0.059602649006622516
E00053537,0.2596685082872928,0.1712707182320442,0.3370165745856354,0.11173184357541899
E00053538,0.16546762589928057,0.12318840579710146,0.39855072463768115,0.10294117647058823
E00053539,0.23622047244094488,0.1889763779527559,0.3858267716535433,0.12598425196850394
E00053540,0.2882882882882883,0.1834862385321101,0.3944954128440367,0.09174311926605505
E00053541,0.1937984496124031,0.13953488372093023,0.24615384615384617,0.09302325581395349
E00053542,0.2421875,0.0625,0.2578125,0.031496062992125984
E00053543,0.25,0.04032258064516129,0.3387096774193548,0.024193548387096774
E00053544,0.2196969696969697,0.17557251908396945,0.3816793893129771,0.030303030303030304
E00053545,0.2462686567164179,0.11940298507462686,0.3805970149253731,0.058394160583941604
E00053546,0.1746031746031746,0.0873015873015873,0.328125,0.07086614173228346
E00053547,0.43410852713178294,0.31007751937984496,0.46511627906976744,0.17829457364341086
E00053548,0.3,0.3125,0.55,0.2125
E00053550,0.3902439024390244,0.19753086419753085,0.3353658536585366,0.20121951219512196
E00053552,0.31451612903225806,0.2926829268292683,0.44715447154471544,0.0975609756097561
E00053553,0.45454545454545453,0.34265734265734266,0.5174825174825175,0.29577464788732394
E00053555,0.3656716417910448,0.23134328358208955,0.45864661654135336,0.1037037037037037
E00053556,0.28272251308900526,0.2356020942408377,0.24083769633507854,0.15706806282722513
E00053557,0.42857142857142855,0.35714285714285715,0.38571428571428573,0.22142857142857142
E00053558,0.5681818181818182,0.2595419847328244,0.4961832061068702,0.17293233082706766
E00053559,0.308411214953271,0.1588785046728972,0.35514018691588783,0.06074766355140187
E00053560,0.4696969696969697,0.36363636363636365,0.5075757575757576,0.07575757575757576
E00053561,0.3115942028985507,0.18115942028985507,0.32116788321167883,0.08695652173913043
E00053562,0.3700787401574803,0.27419354838709675,0.4409448818897638,0.11023622047244094
E00053563,0.5196850393700787,0.1968503937007874,0.3888888888888889,0.06299212598425197
E00053564,0.3382352941176471,0.16058394160583941,0.3357664233576642,0.22627737226277372
E00053565,0.5,0.2540983606557377,0.512,0.06557377049180328
E00053566,0.3888888888888889,0.2413793103448276,0.43448275862068964,0.14685314685314685
E00053567,0.4351145038167939,0.33076923076923076,0.42424242424242425,0.13846153846153847
E00053568,0.3698630136986301,0.1780821917808219,0.410958904109589,0.0821917808219178
E00053569,0.28346456692913385,0.2283464566929134,0.41732283464566927,0.06299212598425197
E00053570,0.30578512396694213,0.13934426229508196,0.4297520661157025,0.08264462809917356
E00053571,0.2890625,0.23622047244094488,0.3984375,0.0873015873015873
